Zip,LessThan10K,MoreThan10K,MoreThan25K,MoreThan50K 
93609,0.24,0.38,0.24,0.14
93610,0.22,0.34,0.27,0.17
93611,0.17,0.15,0.19,0.49
93612,0.19,0.32,0.3,0.2
93613,0.16,0.28,0.28,0.28
93614,0.18,0.19,0.22,0.41
93615,0.33,0.47,0.17,0.04
93616,0.31,0.44,0.18,0.08
93618,0.28,0.39,0.21,0.13
93620,0.22,0.37,0.26,0.15
93621,0.21,0.27,0.27,0.25
93622,0.24,0.45,0.23,0.08
93624,0.16,0.54,0.25,0.04
93625,0.23,0.34,0.24,0.2
93626,0.17,0.17,0.22,0.44
93628,0.25,0.38,0.27,0.1
93630,0.23,0.38,0.24,0.15
93631,0.2,0.26,0.26,0.28
93635,0.17,0.26,0.27,0.3
93637,0.21,0.31,0.26,0.23
93638,0.23,0.33,0.22,0.21
93639,0.26,0.43,0.18,0.14
93640,0.3,0.54,0.13,0.03
93641,0.21,0.28,0.28,0.23
93643,0.2,0.25,0.25,0.3
93644,0.2,0.28,0.25,0.27
93645,0.19,0.2,0.23,0.38
93646,0.32,0.48,0.16,0.04
93647,0.28,0.46,0.2,0.06
93648,0.3,0.47,0.19,0.04
93650,0.26,0.4,0.25,0.09
93651,0.18,0.17,0.22,0.43
93652,0.28,0.52,0.16,0.04
93653,0.19,0.25,0.3,0.26
93654,0.25,0.37,0.21,0.18
93656,0.22,0.36,0.29,0.14
93657,0.23,0.35,0.22,0.2
93660,0.23,0.53,0.2,0.04
93662,0.24,0.37,0.23,0.16
93664,0.15,0.16,0.19,0.51
93666,0.37,0.48,0.11,0.03
93667,0.17,0.2,0.26,0.37
93668,0.18,0.36,0.3,0.17
93669,0.17,0.24,0.24,0.35
93675,0.18,0.22,0.3,0.3
93701,0.36,0.49,0.13,0.02
93702,0.29,0.46,0.2,0.05
93703,0.25,0.4,0.26,0.09
93704,0.18,0.27,0.27,0.28
93705,0.22,0.36,0.28,0.14
93706,0.3,0.41,0.21,0.09
93710,0.21,0.27,0.25,0.27
93711,0.16,0.17,0.21,0.45
93720,0.15,0.14,0.2,0.52
93721,0.29,0.4,0.2,0.1
93722,0.17,0.26,0.28,0.29
93725,0.25,0.39,0.24,0.12
93726,0.23,0.35,0.28,0.14
93727,0.22,0.31,0.27,0.2
93728,0.24,0.37,0.28,0.11
93729,0.12,0.2,0.31,0.38
93744,0.15,0.34,0.36,0.16
93745,0.27,0.51,0.17,0.05
93747,0.16,0.38,0.29,0.17
93755,0.21,0.28,0.32,0.2
93790,0.22,0.25,0.31,0.22
93794,0.21,0.24,0.31,0.24
93901,0.15,0.24,0.27,0.33
93902,0.15,0.35,0.31,0.2
93905,0.18,0.44,0.26,0.13
93906,0.14,0.26,0.29,0.31
93907,0.14,0.19,0.24,0.42
93908,0.15,0.12,0.14,0.59
93912,0.11,0.31,0.34,0.24
93915,0.16,0.56,0.23,0.04
93920,0.17,0.33,0.3,0.2
93921,0.13,0.18,0.26,0.43
93922,0.14,0.19,0.29,0.39
93923,0.16,0.14,0.18,0.53
93924,0.16,0.18,0.21,0.45
93925,0.15,0.43,0.3,0.12
93926,0.15,0.36,0.29,0.2
93927,0.18,0.38,0.29,0.15
93930,0.17,0.34,0.27,0.22
93932,0.13,0.21,0.31,0.35
93933,0.16,0.25,0.3,0.28
93940,0.13,0.2,0.29,0.39
93942,0.13,0.19,0.32,0.36
93943,0.1,0.25,0.25,0.4
93944,0.27,0.61,0.08,0.04
93950,0.13,0.2,0.27,0.39
93953,0.14,0.09,0.16,0.61
93954,0.2,0.38,0.27,0.16
93955,0.14,0.31,0.33,0.22
93960,0.14,0.36,0.29,0.21
93962,0.13,0.2,0.28,0.38
94002,0.1,0.1,0.19,0.62
94005,0.08,0.11,0.23,0.58
94010,0.11,0.11,0.19,0.58
94011,0.08,0.16,0.3,0.46
94014,0.13,0.23,0.33,0.31
94015,0.13,0.19,0.3,0.37
94016,0.12,0.22,0.43,0.24
94017,0.09,0.18,0.44,0.28
94018,0.12,0.13,0.19,0.56
94019,0.12,0.16,0.21,0.51
94020,0.11,0.13,0.15,0.61
94022,0.13,0.07,0.1,0.7
94023,0.09,0.12,0.22,0.56
94024,0.12,0.07,0.09,0.72
94025,0.1,0.12,0.18,0.6
94026,0.08,0.13,0.28,0.5
94027,0.13,0.08,0.1,0.69
94028,0.13,0.07,0.09,0.72
94030,0.14,0.13,0.24,0.49
94037,0.11,0.1,0.15,0.63
94038,0.12,0.14,0.21,0.54
94039,0.06,0.17,0.24,0.53
94040,0.09,0.12,0.2,0.59
94041,0.07,0.13,0.21,0.58
94042,0.06,0.16,0.28,0.49
94043,0.07,0.12,0.22,0.58
94044,0.11,0.13,0.25,0.5
94060,0.13,0.33,0.27,0.27
94061,0.11,0.16,0.25,0.48
94062,0.1,0.1,0.17,0.62
94063,0.12,0.26,0.34,0.28
94064,0.08,0.17,0.33,0.42
94065,0.07,0.06,0.12,0.74
94066,0.12,0.16,0.29,0.43
94070,0.1,0.08,0.16,0.65
94074,0.13,0.23,0.24,0.4
94080,0.12,0.19,0.29,0.4
94083,0.08,0.17,0.38,0.37
94085,0.09,0.16,0.25,0.51
94086,0.07,0.12,0.21,0.6
94087,0.09,0.1,0.16,0.65
94088,0.06,0.11,0.17,0.66
94089,0.09,0.16,0.26,0.5
94102,0.17,0.29,0.34,0.2
94103,0.14,0.28,0.32,0.26
94104,0.1,0.17,0.23,0.51
94105,0.05,0.09,0.19,0.67
94107,0.09,0.14,0.23,0.54
94108,0.15,0.24,0.3,0.31
94109,0.1,0.19,0.3,0.42
94110,0.12,0.25,0.33,0.3
94111,0.08,0.12,0.16,0.64
94112,0.14,0.24,0.33,0.29
94114,0.06,0.12,0.27,0.54
94115,0.1,0.16,0.27,0.48
94116,0.14,0.17,0.27,0.42
94117,0.09,0.17,0.32,0.42
94118,0.11,0.16,0.28,0.45
94119,0.06,0.11,0.26,0.57
94121,0.13,0.17,0.29,0.41
94122,0.13,0.18,0.3,0.4
94123,0.05,0.07,0.18,0.7
94124,0.19,0.28,0.32,0.21
94125,0.13,0.18,0.35,0.33
94126,0.07,0.15,0.21,0.58
94127,0.12,0.12,0.18,0.58
94128,0.06,0.15,0.4,0.39
94129,0.1,0.2,0.31,0.39
94130,0.13,0.23,0.33,0.31
94131,0.08,0.11,0.25,0.56
94132,0.15,0.19,0.27,0.39
94133,0.13,0.23,0.26,0.38
94134,0.15,0.26,0.33,0.26
94140,0.14,0.33,0.38,0.14
94141,0.13,0.15,0.35,0.37
94142,0.12,0.3,0.4,0.18
94146,0.11,0.2,0.31,0.37
94147,0.1,0.22,0.28,0.4
94159,0.09,0.22,0.3,0.38
94164,0.08,0.23,0.39,0.31
94188,0.09,0.17,0.4,0.33
94301,0.09,0.08,0.15,0.68
94302,0.09,0.15,0.22,0.54
94303,0.13,0.21,0.27,0.39
94304,0.05,0.09,0.22,0.65
94305,0.18,0.28,0.2,0.34
94306,0.12,0.11,0.16,0.61
94309,0.41,0.25,0.15,0.18
94401,0.11,0.19,0.29,0.4
94402,0.11,0.12,0.19,0.58
94403,0.11,0.13,0.23,0.54
94404,0.1,0.08,0.15,0.66
94501,0.12,0.18,0.3,0.41
94502,0.12,0.09,0.15,0.65
94503,0.14,0.18,0.27,0.41
94506,0.16,0.06,0.07,0.72
94507,0.17,0.07,0.09,0.66
94508,0.22,0.19,0.22,0.36
94509,0.13,0.19,0.27,0.41
94510,0.14,0.13,0.2,0.53
94511,0.14,0.24,0.29,0.33
94512,0.19,0.3,0.24,0.27
94513,0.12,0.15,0.2,0.54
94514,0.1,0.1,0.17,0.63
94515,0.15,0.28,0.27,0.3
94516,0.23,0.18,0.15,0.43
94517,0.14,0.08,0.13,0.64
94518,0.15,0.15,0.25,0.45
94519,0.13,0.18,0.28,0.42
94520,0.14,0.26,0.34,0.26
94521,0.14,0.14,0.23,0.49
94522,0.11,0.23,0.35,0.32
94523,0.12,0.13,0.22,0.54
